Date,Product,Region,Quantity,Category,Unit_Price,Sales,Profit
2025-04-13,Laptop,West,2,Electronics,55000,110000,10624.42
2025-12-15,Tablet,South,7,Electronics,22000,154000,34886.82
2025-09-28,Printer,South,5,Office,15000,75000,11867.07
2025-04-17,Keyboard,North,5,Accessories,1500,7500,1555.34
2025-03-13,Monitor,West,6,Electronics,12000,72000,9316.79
2025-07-08,Printer,North,9,Office,15000,135000,28860.96
2025-01-21,Mobile,South,6,Electronics,30000,180000,17825.24
2025-04-13,Headphones,West,8,Electronics,2500,20000,2810.31
2025-05-02,Laptop,East,7,Electronics,55000,385000,94814.15
2025-08-03,Mouse,West,9,Accessories,800,7200,1547.84
2025-11-27,Mouse,East,4,Accessories,800,3200,526.51
2025-03-29,Keyboard,East,2,Accessories,1500,3000,413.29
2025-04-10,Mobile,West,7,Electronics,30000,210000,47935.24
2025-12-26,Tablet,East,6,Electronics,22000,132000,22786.38
2025-06-01,Laptop,North,1,Electronics,55000,55000,11491.27
2025-05-11,Mobile,South,9,Electronics,30000,270000,56213.54
2025-05-30,Laptop,East,9,Electronics,55000,495000,41110.13
2025-11-05,Keyboard,North,2,Accessories,1500,3000,304.39
2025-09-15,Keyboard,East,3,Accessories,1500,4500,864.62
2025-12-10,Tablet,South,5,Electronics,22000,110000,11822.29
2025-10-21,Mouse,North,5,Accessories,800,4000,7455.485000000001
2025-07-11,Mobile,South,1,Electronics,30000,30000,7227.85
2025-10-04,Monitor,South,8,Electronics,12000,96000,16822.17
2025-06-10,Mouse,North,8,Accessories,800,6400,1328.79
2025-11-10,Mobile,North,4,Electronics,30000,120000,20982.81
2025-01-22,Mouse,North,7,Accessories,800,5600,973.99
2025-09-10,Monitor,West,3,Electronics,12000,36000,3456.21
2025-08-24,Headphones,North,6,Electronics,2500,15000,2076.34
2025-12-11,Headphones,North,9,Electronics,2500,22500,2880.3
2025-02-18,Tablet,North,1,Electronics,22000,22000,3221.32
2025-02-28,Headphones,North,5,Electronics,2500,12500,2696.48
